label	ComposerLast	ComposerFirst	Composer	Work	Conductor	Performed	TimesPerf	NumConcerts	CumNumConcerts	NumHSOConcerts	CumNumHSOConcerts	Decade	First Date	Date	DayMonth	Year	Soloists	Comments	Venue	ConcertType	Chorus Conductor	Season	Sponsorship	Rating
Haydn - The Creation 1988-11-11	Haydn	Franz Joseph   	"Haydn, Franz Joseph"	The Creation	"Wyss, Niklaus"	False	0	0	0	0	0	1980	11/11/1988	1988-11-11	11/12/13/14-Nov	1988	"Andrea Matthews (s), Douglas Ahlstedt (t), John Ostendorf (b). Judith Hurt Gaffney (a)(HSC) completed soloist quartet for final chorus."	Inspired me to audition for HSC	Houston	Classical	"Hausmann, Charles"	88-89	HSO	****
Various - Christmas Pops 1988-12-08	Various	    	Various	Christmas Pops	"Ben-Dor, Gisäle"	False	0	0	0	0	0	1980	12/8/1988	1988-12-08	8/16/17/18/18-Dec	1988		2nd 18-Dec concert was a special at Wyndham Hotel North. Conoco Christmas Party was 08-Dec	Houston	Pops	"Hausmann, Charles"	88-89	HSO	
Handel - Messiah 1988-12-18	Handel	George Frideric   	"Handel, George Frideric"	Messiah	"Wyss, Niklaus"	False	0	0	0	0	0	1980	12/18/1988	1988-12-18	18/19/20-Dec	1988	"Janice Grissom (s), Jane Bunnell (ms), Joseph Frank (t), Arthur Woodley (bbar)"	Dec 20 at First Methodist.	Houston	Classical	"Hausmann, Charles"	88-89	HSO	**
Orff - Carmina Burana 1989-01-28	Orff	Carl    	"Orff, Carl"	Carmina Burana	"Wyss, Niklaus"	False	0	0	0	0	0	1980	1/28/1989	1989-01-28	28 Jan	1989		Teen Night Concert	Houston	Classical	"Hausmann, Charles"	88-89	HSO	
"Mahler - Symphony #2, ""Resurrection"" 1989-02-18"	Mahler	Gustav    	"Mahler, Gustav"	"Symphony #2, ""Resurrection"""	"Eschenbach, Christoph"	False	0	0	0	0	0	1980	2/18/1989	1989-02-18	18/19-Feb	1989	"Pamela Coburn (s), Dunja Vejzovic (ms)"	"Vejzovic replaced Birgit Finnilae, who broke her foot."	Houston	Classical	"Hausmann, Charles"	88-89	HSO	
Beethoven - Missa Solemnis 1989-04-08	Beethoven	Ludwig van   	"Beethoven, Ludwig van"	Missa Solemnis	"Page, Robert"	True	3	3	3	3	3	1980	4/8/1989	1989-04-08	8/9/10-Apr	1989	"Kaaren Erickson (s), Katherine Ciesinski (mp), Ernesto Palacio (t), George-Emil Crasnaru (b)"	"Page replaced Lawrence Foster, who was disabled by a neck/collar bone injury."	Houston	Classical	"Hausmann, Charles"	88-89	HSO	***
Howe - Battle Hymn of the Republic 1989-05-18	Howe	Julia Ward / Steffe / Wilhousky  	"Howe, Julia Ward / Steffe / Wilhousky"	Battle Hymn of the Republic	"Wyss, Niklaus"	False	0	0	3	0	3	1980	5/18/1989	1989-05-18	18-May	1989		Salvation Army Centennial Gala. HSC sang Aãda Triumphal March and Battle Hymn of the Republic	Houston	General	"Hausmann, Charles"	88-89	HSO	
Verdi - Aãda 1989-05-18	Verdi	Giuseppe	"Verdi, Giuseppe"	Aãda	"Wyss, Niklaus"	False	0	0	3	0	3	1980	5/18/1989	1989-05-18	18-May	1989		Salvation Army Centennial Gala. HSC sang Aãda Triumphal March and Battle Hymn of the Republic	Houston	Opera	"Hausmann, Charles"	88-89	HSO	
Orff - Carmina Burana 1989-05-24	Orff	Carl    	"Orff, Carl"	Carmina Burana	"Stein, Horst"	False	0	0	3	0	3	1980	5/24/1989	1989-05-24	24/25-May	1989	"Barbara Bonney (s), Werner Compes (t), Haka Hagegard (bar)"	"Season Finale of Basel Symphony Orchestra, in Basel, Switzerland"	Europe	Classical	"Hausmann, Charles"	88-89	Independent	***
Various - Choral Music 1989-05-27	Various		Various	Choral Music	"Hausmann, Charles"	False	0	0	3	0	3	1980	5/27/1989	1989-05-27	27-May	1989	Scott Holshouser (pianist)	"European tour repertoire, sung in Theatre Esch Galerie, Esch Zur Alzette, Luxembourg"	Europe	Classical	"Hausmann, Charles"	88-89	Independent	
