tipo,prov,label,type,id,coord
CEE,Z,CEE JEAN PIAGET,cen,50018131,"41.687976, -0.873452"
CEE,T,CEE GLORIA FUERTES,cen,44004148,"40.974559, -0.448783"
CEE,Z,CEE ANGEL RIVIÈRE,cen,50017369,"41.661587, -0.883011"
CEIP,Z,CEIP GIL TARÍN,cen,50017448,"41.58112, -1.11651"
CEIP,Z,CEIP LUCIEN BRIET,cen,50018143,"41.670992, -0.874558"
CEIP,H,CEIP SAN JUAN DE LA PEÑA,cen,22002673,"42.56766, -0.554639"
CEIP,Z,CEIP JOSEFA AMAR Y BORBÓN,cen,50011847,"41.674533, -0.88304"
CEIP,H,CEIP PÍO XII,cen,22002338,"42.142132, -0.39668"
CEIP,Z,CEIP JOSÉ ANTONIO LABORDETA SUBÍAS,cen,50011801,"41.677622, -0.897084"
CEIP,Z,CEIP TORRE RAMONA,cen,50009208,"41.644037, -0.86163"
CEIP,H,CEIP PEDRO I,cen,22004906,"42.034424, 0.129671"
CEIP,Z,CEIP FERNÁNDEZ VIZARRA,cen,50005641,"41.700386, -0.971411"
CEIP,Z,CEIP MIRALBUENO,cen,50018261,"41.656325, -0.932817"
CEIP,Z,CEIP HISPANIDAD,cen,50010181,"41.64604, -0.921774"
CEIP,Z,CEIP VADORREY-LES ALLÉES,cen,50018830,"41.657101, -0.857123"
CEIP,Z,CEIP GALO PONTE,cen,50017904,"41.833817, -0.764892"
CEIP,Z,CEIP DOMINGO MIRAL,cen,50005951,"41.627021, -0.890401"
CEIP,Z,CEIP RAMÓN Y CAJAL,cen,50008952,"41.590391, -0.928961"
CEIP,H,CEIP LA LAGUNA,cen,22004104,"41.795022, -0.158002"
CEIP,Z,CEIP DOMINGO JIMÉNEZ BELTRÁN,cen,50001222,"41.528077, -1.342005"
CEIP,Z,CEIP FERNANDO EL CATÓLICO,cen,50005963,"41.651042, -0.927683"
CEIP,Z,CEIP PARQUE EUROPA,cen,50017451,"41.702493, -0.998783"
CEIP,Z,CEIP PARQUE GOYA,cen,50017072,"41.681156, -0.872339"
CEIP,Z,CEIP CÁNDIDO DOMINGO,cen,50005926,"41.659058, -0.873593"
CEIP,Z,CEIP RAMIRO SOLÁNS,cen,50008691,"41.652459, -0.924027"
CEIP,Z,CEIP TENERÍAS,cen,50009397,"41.653626, -0.870856"
CEIP,Z,CEIP FERRER Y RACAJ,cen,50001775,"42.131292, -1.311907"
CEIP,T,CEIP NTRA. SRA. DEL PILAR,cen,44002152,"40.783512, -1.357862"
CEIP,Z,CEIP CASTILLO QADRIT,cen,50011288,"41.559814, -0.964642"
CEIP,Z,CEIP REINO DE ARAGÓN,cen,50017898,"41.631893, -0.757091"
CEIP,Z,CEIP SAN JORGE,cen,50002433,"41.209849, -1.084838"
CEIP,Z,CEIP MARIE CURIE,cen,50018258,"41.659517, -0.863937"
CEIP,H,CEIP ALTO ARAGÓN,cen,22000721,"42.032941, 0.131694"
CEIP,Z,CEIP EL ESPARTIDERO,cen,50017874,"41.669392, -0.822729"
CEIP,Z,CEIP VALDESPARTERA,cen,50018246,"41.623872, -0.916836"
CEIP,Z,CEIP ALFREDO MUIÑOS,cen,50004053,"41.841507, -1.178173"
CEIP,Z,CEIP SANTO CRISTO DE SANTIAGO,cen,50001301,"41.339006, -1.22734"
CEIP,Z,CEIP CUARTE DE HUERVA III,cen,50019299,"41.5855, -0.945038"
CEIP,H,CEIP MIGUEL SERVET,cen,22001875,"41.519164, 0.350948"
CEIP,Z,CEIP FORO ROMANO,cen,50018283,"41.585459, -0.945038"
CEIP,Z,CEIP ROSALES DEL CANAL,cen,50018271,"41.634774, -0.940607"
CEIP,Z,CEIP SAN ROQUE,cen,50017916,"41.534892, -0.999728"
CEIP,Z,CEIP CATALINA DE ARAGÓN,cen,50018817,"41.689086, -0.878708"
CEIP,Z,CEIP GUSTAVO ADOLFO BÉCQUER,cen,50005574,"41.683263, -1.024039"
CEIP,Z,CEIP JULIO VERNE,cen,50019019,"41.657422, -0.92411"
CEIP,H,CEIP LOS ARAÑONES,cen,22001437,"42.748834, -0.515198"
CEIP,Z,CEIP COMPROMISO DE CASPE,cen,50001350,"41.235478, -0.037394"
CEIP,T,CEIP SAN MIGUEL,cen,44002221,"40.248434, -0.751512"
CEIP,H,CEIP SANTOS SAMPER SARASA,cen,22000299,"42.04115, -0.58392"
CEIP,Z,CEIP VIRGEN DE LA PEANA,cen,50000618,"41.329898, -1.794291"
CEIP,Z,CEIP ODÓN DE BUEN,cen,50008587,"41.867073, -0.788441"
CEIP,T,CEIP JUAN LORENZO PALMIRENO,cen,44010203,"41.048594, -0.130195"
CEIP,Z,CEIP SAN JAVIER,cen,50002032,"41.28989, -0.32323"
CEIP,T,CEIP VICENTE FERRER RAMOS,cen,44003715,"40.87312, 0.15427"
CEIP,Z,CEIP MAESTRO DON PEDRO ORÓS,cen,50005653,"41.649988, -0.821923"
