label,centros,type,competencias,lineas
1337,22002673,recm,"Competencia en comunicación lingüística,Conciencia y expresiones culturales",Comunicación oral
1338,50018131,recm,"Competencias sociales y cívicas,Conciencia y expresiones culturales",Gestión de las emociones
1339,50018131,recm,"Competencias sociales y cívicas,Conciencia y expresiones culturales,Aprender a aprender",Gestión de las emociones
1340,50018131,recm,"Competencias sociales y cívicas,Conciencia y expresiones culturales",Gestión de las emociones
1341,50018131,recm,"Competencias sociales y cívicas,Conciencia y expresiones culturales","Gestión de las emociones,Compromiso social"
1342,50001222,recm,"Competencias sociales y cívicas,Conciencia y expresiones culturales","Gestión de las emociones,Compromiso social"
1343,50018131,recm,"Competencia en comunicación lingüística,Aprender a aprender,Competencias sociales y cívicas",Comunicación oral
1344,50017904,recm,"Competencias sociales y cívicas,Conciencia y expresiones culturales",Comunicación oral
1345,50017874,recm,"Aprender a aprender,Competencias sociales y cívicas",Gestión de las emociones
1346,22002673,recm,"Competencia en comunicación lingüística,Aprender a aprender,Sentido de la iniciativa y espíritu emprendedor",Comunicación oral
1347,50001301,recm,"Competencia digital,Competencias sociales y cívicas",TAC (Tecnologías del Aprendizaje y del Conocimiento)
1348,50007376,recm,"Competencia en comunicación lingüística,Aprender a aprender,Competencias sociales y cívicas",Comunicación oral
1349,44004239,recm,Aprender a aprender,"Compromiso social,"
1350,22000721,recm,Competencia digital,TAC (Tecnologías del Aprendizaje y del Conocimiento)
1351,22002673,recm,Competencia digital,TAC (Tecnologías del Aprendizaje y del Conocimiento)
1352,50008770,recm,Competencias sociales y cívicas,Gestión de las emociones
1353,22002673,recm,"Aprender a aprender,Competencias sociales y cívicas",Metodologías activas
1354,50011847,recm,"Competencia en comunicación lingüística,Competencia digital,Conciencia y expresiones culturales","TAC (Tecnologías del Aprendizaje y del Conocimiento),Gestión de las emociones"
1355,50008691,recm,Competencias sociales y cívicas,"Gestión de las emociones,Compromiso social"
1356,50018258,recm,"Competencia en comunicación lingüística,Sentido de la iniciativa y espíritu emprendedor",Comunicación oral
1357,22001875,recm,"Competencias sociales y cívicas,Sentido de la iniciativa y espíritu emprendedor",Compromiso social
1358,22002338,recm,Competencias sociales y cívicas,Metodologías activas
1359,50006311,recm,Competencia matemática y competencias básicas en ciencia y tecnología,"TAC (Tecnologías del Aprendizaje y del Conocimiento),Gestión de las emociones"
1360,22010670,recm,Competencias sociales y cívicas,Compromiso social
1361,44002221,recm,Competencia digital,"TAC (Tecnologías del Aprendizaje y del Conocimiento),Gestión de las emociones"
1362,50006761,recm,"Competencia en comunicación lingüística,Aprender a aprender,Competencias sociales y cívicas",Comunicación oral
1363,50018261,recm,"Competencia en comunicación lingüística,Aprender a aprender,Competencias sociales y cívicas",Comunicación oral
1364,"50002329,5000233",recm,Competencia en comunicación lingüística,Comunicación oral
1365,50009166,recm,"Competencia digital,Competencias sociales y cívicas","TAC (Tecnologías del Aprendizaje y del Conocimiento),Gestión de las emociones"
1366,50006633,recm,Competencia en comunicación lingüística,Comunicación oral
1367,50009129,recm,Conciencia y expresiones culturales,Metodologías activas
1368,50009129,recm,"Aprender a aprender,Competencias sociales y cívicas",Metodologías activas
1369,50008770,recm,Competencias sociales y cívicas,Gestión de las emociones
1370,50008691,recm,"Aprender a aprender,Competencias sociales y cívicas",Metodologías activas
1371,50008691,recm,Competencias sociales y cívicas,Gestión de las emociones
1372,50018878,recm,"Aprender a aprender,Competencias sociales y cívicas",Metodologías activas
1373,50018878,recm,"Aprender a aprender,Competencias sociales y cívicas",Compromiso social
1374,50010181,recm,"Aprender a aprender,Sentido de la iniciativa y espíritu emprendedor",Metodologías activas
1375,50017072,recm,"Competencia matemática y competencias básicas en ciencia y tecnología,Competencia digital","TAC (Tecnologías del Aprendizaje y del Conocimiento),Gestión de las emociones"
1376,50005781,recm,"Competencia en comunicación lingüística,Sentido de la iniciativa y espíritu emprendedor",Comunicación oral
1377,22004906,recm,Competencia matemática y competencias básicas en ciencia y tecnología,Metodologías activas
1378,44005062,recm,"Aprender a aprender,Competencias sociales y cívicas",Metodologías activas
1379,44005062,recm,"Competencia en comunicación lingüística,Conciencia y expresiones culturales",Comunicación oral
1380,50011847,recm,Competencia matemática y competencias básicas en ciencia y tecnología,Metodologías activas
1381,50009129,recm,Competencia matemática y competencias básicas en ciencia y tecnología,Metodologías activas
1382,50001799,recm,"Competencia en comunicación lingüística,Conciencia y expresiones culturales",Comunicación oral
1383,50004053,recm,"Competencia matemática y competencias básicas en ciencia y tecnología,Conciencia y expresiones culturales,Sentido de la iniciativa y espíritu emprendedor","TAC (Tecnologías del Aprendizaje y del Conocimiento),Gestión de las emociones"
1384,50008915,recm,"Aprender a aprender,Competencias sociales y cívicas",Gestión de las emociones
1385,22004104,recm,Competencias sociales y cívicas,Gestión de las emociones
1386,50006761,recm,"Competencia en comunicación lingüística,Conciencia y expresiones culturales",Comunicación oral
1387,50001799,recm,"Competencia en comunicación lingüística,Conciencia y expresiones culturales",Comunicación oral
1388,50007194,recm,Competencia en comunicación lingüística,Comunicación oral
1389,50011100,recm,Competencia en comunicación lingüística,Comunicación oral
1390,50011100,recm,Competencia en comunicación lingüística,Comunicación oral
1392,50000412,recm,Competencia en comunicación lingüística,Comunicación oral
1393,50007856,recm,Competencia en comunicación lingüística,Comunicación oral
1394,50007248,recm,Competencia en comunicación lingüística,Comunicación oral
1395,22000721,recm,Competencia en comunicación lingüística,Comunicación oral
1397,50011847,recm,Competencia en comunicación lingüística,Comunicación oral
1398,22004906,recm,Competencia en comunicación lingüística,Comunicación oral
1399,22002673,recm,"Competencia en comunicación lingüística,Competencia matemática y competencias básicas en ciencia y tecnología","Comunicación oral,TAC (Tecnologías del Aprendizaje y del Conocimiento)"
1400,44002221,recm,Competencia en comunicación lingüística,Comunicación oral
