label,webproyecto,responsables,contacto,institucional,pagina,type,link
&quot;Es momento de cambiar&quot;,linea54.wordpress.com,Ana Ferrer Marco,,0,1888,rec,https://www.youtube.com/watch?v=bJD04-2nKh0
"&quot;ESPACIO LIKE&quot;, UN RECREO QUE EDUCA",http://zaragoza.redsagradocorazon.es/index.php/55-espacio-like/719-espacio-like,"MARIANO GIMENO GARCÍA, PROFESOR DE E. FÍSICA Y MARÍA JOSÉ HERBERA MONTULL, PROFESORA DE PEDAGOGÍA TERAPÉIUTICA",,0,1900,rec,https://www.youtube.com/watch?v=YeBgsA0TK5U
"7 MESES, 7 CAUSAS",http://cpfec.blogspot.com.es/,Claustro de profesores del CEIP Fernando el Católico de Zaragoza.,,0,1787,rec,https://www.youtube.com/watch?v=2acXu4GsWlg
8 Meses 8 Causas,,,,1,1412,rec,https://youtu.be/FU8IeHmoSg4
Actividad en inglés,,,,1,1388,rec,https://youtu.be/gPX7uh-HBJc
Adc Hispanidad,,,,1,1374,rec,https://youtu.be/wavp0nu3s0c
Adivina...¡qué te cuento!,http://adivinaquetecuentoinnova.blogspot.com.es/,"Raquel Sánchez Nieto, Sonia Gascón Sanvicente, Mónica Lacasa Miñana, Ana María Daina Valencia",,0,1901,rec,https://www.youtube.com/watch?v=8HR6cfr-Dng&amp;feature=youtu.be
Advancing Towards The Future,,,,1,1392,rec,https://youtu.be/Ph_l491DLbs
Ajedrez en Amar y Borbón,,,,1,1380,rec,https://youtu.be/EaF1hgtEuMM
Ajedrez en el aula,http://www.cristorey.zaragoza.escolapiosemaus.org/informacion/innovacion/ajedrez-en-el-aula,Isaac M. Pérez Aisa. Participación y responsabilidad compartida al 100 % por el 100% del claustro de profesores,,0,1628,rec,https://www.youtube.com/watch?v=iVyNCpepGbQ
Ajedrez en el CEIP Compromiso de Caspe,,David López,,1,1604,rec,https://youtu.be/Bsj1QZ5NDbU
Ajedrez en Pedro I,,,,1,1377,rec,https://youtu.be/KShlosPFblo
Alfabetomotricidad,,,,0,1426,rec,https://youtu.be/RcHIFVu18L4
Alumno Ayudante en el CEIP Juan Lorenzo Palmireno,http://programaalumnoayudante.blogspot.com.es/,"Pilar Blasco, Beatriz Agud, Tania Paúl, Isabel Lanuza, Jesús Bernuz",,0,1652,rec,https://www.youtube.com/watch?v=bRKZJmPaJWw
Apadrina un lector,http://ceipvaldespartera.blogspot.com.es/,Pilar Monreal Aliaga,,1,1454,rec,
Aplicación de la filosofía y práctica del Aikido a la resolución de conflictos en el aula,,,,0,1369,rec,https://youtu.be/P1QNbVIzj8s
APPrendiendo con P.D.I. en las aulas de Ed. Infantil,,Domingo Santabárbara Bayo,,1,1440,rec,https://www.youtube.com/watch?v=GUy9T5BEfOc
